trial,condition,rt,accuracy,stim_path,stim_target
57,\incong-cong-sa,921,1,stimuli-ha-sa\\incong-cong-SA\\cong-sa-11.png,cong-sa-11
58,\incong-cong-sa,2299,1,stimuli-ha-sa\\incong-cong-SA\\incong-sa-27.png,incong-sa-27
59,\incong-cong-sa,2150,1,stimuli-ha-sa\\incong-cong-SA\\cong-sa-36.png,cong-sa-36
60,\incong-cong-sa,2279,1,stimuli-ha-sa\\incong-cong-SA\\cong-sa-4.png,cong-sa-4
61,\incong-cong-ha,958,1,stimuli-ha-sa\\incong-cong-HA\\cong-ha-50.png,cong-ha-50
62,\incong-cong-ha,922,1,stimuli-ha-sa\\incong-cong-HA\\cong-ha-5.png,cong-ha-5
63,\incong-cong-sa,817,1,stimuli-ha-sa\\incong-cong-SA\\cong-sa-16.png,cong-sa-16
64,\incong-cong-sa,1553,1,stimuli-ha-sa\\incong-cong-SA\\incong-sa-45.png,incong-sa-45
65,\incong-cong-sa,1217,1,stimuli-ha-sa\\incong-cong-SA\\cong-sa-17.png,cong-sa-17
66,\incong-cong-ha,941,1,stimuli-ha-sa\\incong-cong-HA\\incong-ha-11.png,incong-ha-11
67,\incong-cong-ha,952,1,stimuli-ha-sa\\incong-cong-HA\\cong-ha-47.png,cong-ha-47
68,\incong-cong-sa,2215,1,stimuli-ha-sa\\incong-cong-SA\\incong-sa-33.png,incong-sa-33
69,\incong-cong-sa,1063,1,stimuli-ha-sa\\incong-cong-SA\\incong-sa-34.png,incong-sa-34
70,\incong-cong-ha,907,1,stimuli-ha-sa\\incong-cong-HA\\incong-ha-1.png,incong-ha-1
71,\incong-cong-ha,1062,1,stimuli-ha-sa\\incong-cong-HA\\cong-ha-27.png,cong-ha-27
72,\incong-cong-ha,983,1,stimuli-ha-sa\\incong-cong-HA\\incong-ha-13.png,incong-ha-13
73,\incong-cong-sa,1224,1,stimuli-ha-sa\\incong-cong-SA\\cong-sa-26.png,cong-sa-26
74,\incong-cong-ha,1366,1,stimuli-ha-sa\\incong-cong-HA\\incong-ha-40.png,incong-ha-40
75,\incong-cong-ha,2559,1,stimuli-ha-sa\\incong-cong-HA\\incong-ha-38.png,incong-ha-38
76,\incong-cong-sa,1343,1,stimuli-ha-sa\\incong-cong-SA\\incong-sa-6.png,incong-sa-6
77,\incong-cong-ha,1376,1,stimuli-ha-sa\\incong-cong-HA\\cong-ha-21.png,cong-ha-21
78,\incong-cong-ha,1359,1,stimuli-ha-sa\\incong-cong-HA\\incong-ha-44.png,incong-ha-44
79,\incong-cong-ha,1392,1,stimuli-ha-sa\\incong-cong-HA\\incong-ha-17.png,incong-ha-17
80,\incong-cong-sa,1436,1,stimuli-ha-sa\\incong-cong-SA\\incong-sa-8.png,incong-sa-8
81,\incong-cong-ha,1389,1,stimuli-ha-sa\\incong-cong-HA\\incong-ha-53.png,incong-ha-53
82,\incong-cong-ha,1655,1,stimuli-ha-sa\\incong-cong-HA\\cong-ha-25.png,cong-ha-25
83,\incong-cong-ha,1352,1,stimuli-ha-sa\\incong-cong-HA\\incong-ha-22.png,incong-ha-22
84,\incong-cong-sa,1499,1,stimuli-ha-sa\\incong-cong-SA\\cong-sa-27.png,cong-sa-27
85,\incong-cong-ha,2708,1,stimuli-ha-sa\\incong-cong-HA\\incong-ha-2.png,incong-ha-2
86,\incong-cong-ha,2092,1,stimuli-ha-sa\\incong-cong-HA\\cong-ha-3.png,cong-ha-3
87,\incong-cong-ha,1388,1,stimuli-ha-sa\\incong-cong-HA\\cong-ha-48.png,cong-ha-48
88,\incong-cong-sa,1353,1,stimuli-ha-sa\\incong-cong-SA\\incong-sa-51.png,incong-sa-51
89,\incong-cong-sa,3046,1,stimuli-ha-sa\\incong-cong-SA\\cong-sa-49.png,cong-sa-49
90,\incong-cong-ha,1543,1,stimuli-ha-sa\\incong-cong-HA\\incong-ha-28.png,incong-ha-28
91,\incong-cong-sa,1350,1,stimuli-ha-sa\\incong-cong-SA\\incong-sa-17.png,incong-sa-17
92,\incong-cong-ha,1289,1,stimuli-ha-sa\\incong-cong-HA\\cong-ha-26.png,cong-ha-26
93,\incong-cong-sa,2010,1,stimuli-ha-sa\\incong-cong-SA\\incong-sa-48.png,incong-sa-48
94,\incong-cong-sa,2264,1,stimuli-ha-sa\\incong-cong-SA\\cong-sa-45.png,cong-sa-45
95,\incong-cong-sa,1665,1,stimuli-ha-sa\\incong-cong-SA\\cong-sa-37.png,cong-sa-37
96,\incong-cong-ha,2680,1,stimuli-ha-sa\\incong-cong-HA\\incong-ha-36.png,incong-ha-36
97,\incong-cong-sa,1484,1,stimuli-ha-sa\\incong-cong-SA\\cong-sa-22.png,cong-sa-22
98,\incong-cong-ha,1572,1,stimuli-ha-sa\\incong-cong-HA\\cong-ha-29.png,cong-ha-29
99,\incong-cong-ha,1663,1,stimuli-ha-sa\\incong-cong-HA\\cong-ha-7.png,cong-ha-7
100,\incong-cong-sa,1366,1,stimuli-ha-sa\\incong-cong-SA\\incong-sa-47.png,incong-sa-47
101,\incong-cong-sa,1343,1,stimuli-ha-sa\\incong-cong-SA\\cong-sa-6.png,cong-sa-6
102,\incong-cong-ha,1720,1,stimuli-ha-sa\\incong-cong-HA\\incong-ha-37.png,incong-ha-37
103,\incong-cong-ha,1446,1,stimuli-ha-sa\\incong-cong-HA\\cong-ha-23.png,cong-ha-23
104,\incong-cong-ha,1400,1,stimuli-ha-sa\\incong-cong-HA\\incong-ha-25.png,incong-ha-25
105,\incong-cong-sa,1272,1,stimuli-ha-sa\\incong-cong-SA\\incong-sa-24.png,incong-sa-24
106,\incong-cong-ha,1370,1,stimuli-ha-sa\\incong-cong-HA\\incong-ha-34.png,incong-ha-34
107,\incong-cong-ha,1735,1,stimuli-ha-sa\\incong-cong-HA\\cong-ha-45.png,cong-ha-45
